GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
final-lab3,com.lab3.finalproject.controller,MateriaController,26,0,0,0,8,0,5,0,5,0
final-lab3,com.lab3.finalproject.controller,AlumnoController,39,0,2,0,10,0,7,0,6,0
final-lab3,com.lab3.finalproject.controller,CarreraController,24,0,0,0,6,0,5,0,5,0
final-lab3,com.lab3.finalproject.service,AlumnoService,56,79,7,3,13,13,9,5,4,5
final-lab3,com.lab3.finalproject.service,CarreraService,19,81,2,2,3,15,4,6,2,6
final-lab3,com.lab3.finalproject.service,MateriaService,2,80,1,1,1,14,1,7,0,7
final-lab3,com.lab3.finalproject,FinalLab3Application,8,0,0,0,3,0,2,0,2,0
final-lab3,com.lab3.finalproject.model,AsignaturaEstado,14,22,0,0,4,8,4,4,4,4
final-lab3,com.lab3.finalproject.model,Alumno,29,37,0,0,9,11,3,9,3,9
final-lab3,com.lab3.finalproject.model,Materia,7,39,0,0,3,16,2,8,2,8
final-lab3,com.lab3.finalproject.model,Carrera,28,38,0,0,10,11,3,11,3,11
final-lab3,com.lab3.finalproject.model,Estado,0,21,0,0,0,4,0,1,0,1
